证券代码,日期,收入熵指标
#002229,2012,3.6955193773085147
#002229,2013,3.6682067331701607
#002229,2014,
#002231,2015,
#002234,2009,3.333951058881137
#002234,2010,3.2745486371584263
#002234,2011,3.353485129104205
#002234,2012,3.3430196561985177
#002234,2013,3.4684929109994234
#002234,2014,
#002234,2015,
#002239,2009,2.937082346695013
#002239,2012,3.4561782196839896
#002239,2013,3.5021586471919637
#002247,2008,2.123961146188616
#002247,2009,3.6912272252939915
#002247,2010,3.6876770607471694
#002247,2011,3.773799144613477
#002247,2012,3.773305451140744
#002247,2013,3.774325397283352
#002247,2014,
#002247,2015,3.1927471800447726
#002247,2016,
#002250,2014,3.4370848869786084
#002250,2015,3.4275289973611667
#002250,2016,3.4579087708985017
#002255,2013,3.7165249716696054
#002255,2014,
#002259,2008,3.2497080658393913
#002259,2009,3.6628865405682074
#002259,2010,3.722872268114605
#002259,2011,3.687436170368946
#002259,2012,3.6992433100735123
#002259,2013,3.7091440887713087
#002259,2014,3.220031832990454
#002269,2016,3.2870746595712577
#002275,2010,3.6625454908989594
#002275,2011,3.603571244494205
#002275,2012,3.604507384157492
#002275,2013,3.6044734998973422
#002275,2014,
#002276,2010,3.763088094200288
#002276,2011,3.9045010431496925
#002276,2012,3.808096982860379
#002276,2013,3.7924842080503547
#002276,2014,
#002284,2009,3.760900432072244
#002284,2011,3.8229916314267873
#002284,2012,3.818031457104339
#002284,2013,3.8014977460445762
#002284,2014,
#002293,2013,3.83147097694186
#002293,2014,
#002294,2009,2.8454792701497076
#002294,2011,3.1942456530401206
#002294,2012,3.801708256091034
#002294,2013,3.7862958685696606
#002294,2014,
#002294,2015,3.1055892150100406
#002294,2016,3.107002785024078
#002299,2009,2.8100411371524583
#002299,2010,2.800097462440057
#002299,2011,3.7702857874656988
#002299,2012,3.7113271373034085
#002299,2013,3.81516017448754
#002299,2014,
#002299,2015,3.3142405654230336
#002299,2016,3.288937270557162
#002299,2017,
#002300,2009,3.4752805317467
#002300,2010,3.4914054114485125
#002300,2011,3.6730858714224524
#002300,2012,3.8881238556118167
#002300,2013,3.8903306740222403
#002300,2014,
#002300,2015,
#002300,2016,3.239670662315133
#002309,2011,3.281957273851021
#002309,2012,3.8874392553106856
#002309,2013,3.874227691258224
#002309,2014,
#002316,2011,2.53848330814535
#002316,2013,3.8714294787363843
#002317,2016,
#002323,2009,1.9965537082592215
#002323,2010,1.9797578132504734
#002323,2011,1.9870435848760732
#002323,2012,3.099483701064237
#002323,2013,3.8248086109861426
#002323,2014,
#002325,2016,
#002328,2009,2.982700142481742
#002328,2010,3.0317816215970916
#002328,2011,3.3743715457064565
#002328,2012,3.420969914994093
#002330,2013,3.666346204100869
#002330,2014,
#002336,2009,3.2022337307691426
#002336,2011,3.528481513130248
#002336,2012,3.3329505591813704
#002336,2013,3.3227254070388517
#002336,2014,
#002336,2015,3.3111593716263923
#002336,2016,3.315701922792874
#002336,2017,
#002337,2011,3.5459475620716683
#002337,2012,3.84706973886936
#002342,2012,3.9273759303111166
#002342,2013,3.936933092951577
#002342,2014,
#002342,2015,
#002342,2017,
#002345,2009,3.700224609238615
#002345,2010,3.6922528172951767
#002345,2011,3.8872113527712457
#002345,2012,3.896141203500907
